row_id	gene_id	GeneID	Chr	Length	Symbol	type_of_gene
1	28373	653635	1	1769	WASH7P	pseudo
2	37837	100422834	1	138	MIR1302-10	miscRNA
3	27617	645520	1	1130	FAM138A	miscRNA
4	14957	79501	1	918	OR4F5	protein-coding
5	29525	729737	1	3402	LOC729737	miscRNA
6	NA	100507658	1	793	NA	NA
7	32143	100132287	1	4370	LOC100132287	miscRNA
8	34875	100288646	1	472	LOC100288646	protein-coding
9	29529	729759	1	939	OR4F29	protein-coding
10	NA.1	100131754	1	1019	NA	NA
11	15703	81399	1	939	OR4F16	protein-coding
12	NA.2	100287654	1	472	NA	NA
13	32479	100133331	1	4273	LOC100133331	miscRNA
14	34707	100288069	1	1371	LOC100288069	miscRNA
15	34676	100287934	1	1194	LOC100287934	unknown
16	24495	400728	1	1925	FAM87B	miscRNA
17	15211	79854	1	1317	LINC00115	miscRNA
18	27176	643837	1	1543	LOC643837	miscRNA
19	NA.3	100506327	1	2478	NA	NA
20	21400	284593	1	1706	FAM41C	miscRNA
21	21401	284600	1	3450	LOC284600	unknown
22	31415	100130417	1	496	LOC100130417	miscRNA
23	19035	148398	1	2554	SAMD11	protein-coding
24	10183	26155	1	2800	NOC2L	protein-coding
25	22154	339451	1	2560	KLHL17	protein-coding
26	16076	84069	1	2440	PLEKHN1	protein-coding
27	16457	84808	1	3040	C1orf170	miscRNA
28	14124	57801	1	1040	HES4	protein-coding
29	7690	9636	1	667	ISG15	protein-coding
30	23052	375790	1	7319	AGRN	protein-coding
31	24777	401934	1	1122	RNF223	protein-coding
32	12742	54991	1	2104	C1orf159	protein-coding
33	25106	406984	1	95	MIR200B	miscRNA
34	25105	406983	1	90	MIR200A	miscRNA
35	26509	554210	1	83	MIR429	miscRNA
36	38742	100506376	1	3532	TTLL10-AS1	unknown
37	20654	254173	1	3130	TTLL10	protein-coding
38	7029	8784	1	1200	TNFRSF18	protein-coding
39	6023	7293	1	1068	TNFRSF4	protein-coding
40	11823	51150	1	2138	SDF4	protein-coding
41	18036	126792	1	2793	B3GALT6	protein-coding
42	23438	388581	1	1036	FAM132A	protein-coding
43	17649	118424	1	2437	UBE2J2	protein-coding
44	5178	6339	1	2684	SCNN1D	protein-coding
45	17600	116983	1	3759	ACAP3	protein-coding
46	18035	126789	1	1240	PUSL1	protein-coding
47	12727	54973	1	2135	CPSF3L	protein-coding
48	15540	80772	1	2193	GLTPD1	protein-coding
49	15972	83756	1	2559	TAS1R3	protein-coding
50	1529	1855	1	2924	DVL1	protein-coding
51	12495	54587	1	2273	MXRA8	protein-coding
52	NA.4	100506404	1	993	NA	NA
53	12748	54998	1	1147	AURKAIP1	protein-coding
54	15795	81669	1	3631	CCNL2	protein-coding
55	19036	148413	1	1748	LOC148413	miscRNA
56	12791	55052	1	733	MRPL20	protein-coding
57	25712	441869	1	2018	ANKRD65	protein-coding
58	27215	643965	1	492	TMEM88B	protein-coding
59	NA.5	100288271	1	805	NA	NA
60	14617	64856	1	4659	VWA1	protein-coding
61	20214	219293	1	3859	ATAD3C	protein-coding
62	15989	83858	1	2433	ATAD3B	protein-coding
63	12921	55210	1	2807	ATAD3A	protein-coding
64	22155	339453	1	1117	TMEM240	protein-coding
65	11399	29101	1	1303	SSU72	protein-coding
66	27222	643988	1	2083	C1orf233	protein-coding
67	18710	142678	1	3574	MIB2	protein-coding
68	6805	8510	1	1240	MMP23B	protein-coding
69	818	984	1	2335	CDK11B	protein-coding
70	29163	728661	1	6003	SLC35E2B	protein-coding
71	6806	8511	1	906	MMP23A	pseudo
72	29156	728642	1	2628	CDK11A	protein-coding
73	NA.6	100506482	1	2086	NA	NA
74	7930	9906	1	1430	SLC35E2	protein-coding
75	14692	65220	1	3235	NADK	protein-coding
76	2298	2782	1	3128	GNB1	protein-coding
77	19655	163688	1	1101	CALML6	protein-coding
78	22156	339456	1	958	TMEM52	protein-coding
79	16690	85452	1	4710	KIAA1751	protein-coding
80	2116	2563	1	1925	GABRD	protein-coding
81	4564	5590	1	2789	PRKCZ	protein-coding
82	38804	100506504	1	2247	LOC100506504	protein-coding
83	20020	199990	1	2742	C1orf86	protein-coding
84	NA.7	100128003	1	4543	NA	NA
85	5313	6497	1	5707	SKI	protein-coding
86	15256	79906	1	1641	MORN1	protein-coding
87	31022	100129534	1	2248	LOC100129534	pseudo
88	8922	11079	1	3102	RER1	protein-coding
89	4235	5192	1	2074	PEX10	protein-coding
90	7704	9651	1	4837	PLCH2	protein-coding
91	12939	55229	1	2642	PANK4	protein-coding
92	23439	388585	1	1306	HES5	protein-coding
93	17473	115110	1	2209	LOC115110	miscRNA
94	32482	100133445	1	603	LOC100133445	miscRNA
95	7015	8764	1	1707	TNFRSF14	protein-coding
96	NA.8	100506589	1	697	NA	NA
97	18068	127281	1	2709	FAM213B	protein-coding
98	14883	79258	1	2902	MMEL1	protein-coding
99	34664	100287898	1	1775	TTC34	protein-coding
100	18598	140625	1	1422	ACTRT2	protein-coding
101	25440	440556	1	3848	LINC00982	miscRNA
102	14360	63976	1	8723	PRDM16	protein-coding
103	37970	100422968	1	61	MIR4251	miscRNA
104	10644	27237	1	2904	ARHGEF16	protein-coding
105	1595	1953	1	7439	MEGF6	protein-coding
106	28669	693135	1	96	MIR551A	miscRNA
107	18067	127262	1	2428	TPRG1L	protein-coding
108	11587	49856	1	1699	WRAP73	protein-coding
109	5907	7161	1	3118	TP73	protein-coding
110	38855	100506635	1	555	LOC100506635	protein-coding
111	13821	57212	1	6455	TP73-AS1	miscRNA
112	19061	148870	1	2174	CCDC27	protein-coding
113	23440	388588	1	546	SMIM1	protein-coding
114	13898	57470	1	2648	LRRC47	protein-coding
115	7775	9731	1	6458	CEP104	protein-coding
116	1392	1677	1	3028	DFFB	protein-coding
117	22153	339448	1	1666	C1orf174	protein-coding
118	32489	100133612	1	1952	LOC100133612	miscRNA
119	29183	728716	1	559	LOC728716	miscRNA
120	21415	284661	1	2074	LOC284661	miscRNA
121	13409	55966	1	3317	AJAP1	protein-coding
122	20888	261734	1	5002	NPHP4	protein-coding
123	6809	8514	1	3171	KCNAB2	protein-coding
124	10101	26038	1	9663	CHD5	protein-coding
125	5019	6146	1	2085	RPL22	protein-coding
126	23441	388591	1	3971	RNF207	protein-coding
127	9654	23463	1	4815	ICMT	protein-coding
128	19047	148645	1	1265	LINC00337	miscRNA
129	23948	390992	1	697	HES3	protein-coding
130	23255	387509	1	4082	GPR153	protein-coding
131	9109	11332	1	2389	ACOT7	protein-coding
132	31272	100130071	1	778	LOC100130071	unknown
133	12507	54626	1	4262	HES2	protein-coding
134	15954	83715	1	3531	ESPN	protein-coding
135	37977	100422975	1	63	MIR4252	miscRNA
136	6979	8718	1	1916	TNFRSF25	protein-coding
137	13880	57449	1	5645	PLEKHG5	protein-coding
138	15093	79707	1	6712	NOL9	protein-coding
139	15562	80835	1	2795	TAS1R1	protein-coding
140	2581	3104	1	2338	ZBTB48	protein-coding
141	7927	9903	1	4487	KLHL21	protein-coding
142	19040	148479	1	3670	PHF13	protein-coding
143	16829	90326	1	2052	THAP3	protein-coding
144	13256	55735	1	3293	DNAJC11	protein-coding
145	38513	100505887	1	466	LOC100505887	miscRNA
146	9495	23261	1	8442	CAMTA1	protein-coding
147	NA.9	100505935	1	1208	NA	NA
148	NA.10	100505910	1	492	NA	NA
149	7450	9341	1	2205	VAMP3	protein-coding
150	7101	8863	1	6203	PER3	protein-coding
151	8778	10911	1	755	UTS2	protein-coding
152	2989	3604	1	1884	TNFRSF9	protein-coding
153	9095	11315	1	961	PARK7	protein-coding
154	12360	54206	1	3129	ERRFI1	protein-coding
155	11627	50651	1	2401	SLC45A1	protein-coding
156	398	473	1	8321	RERE	protein-coding
157	NA.11	100505990	1	474	NA	NA
158	1654	2023	1	1812	ENO1	protein-coding
159	38549	100505975	1	447	ENO1-AS1	miscRNA
160	630	765	1	1339	CA6	protein-coding
161	19401	155184	1	1539	SLC2A7	protein-coding
162	5332	6518	1	3064	SLC2A5	protein-coding
163	35277	100302218	1	84	MIR1285-1	miscRNA
164	15347	80045	1	1153	GPR157	protein-coding
165	25160	407040	1	110	MIR34A	miscRNA
166	28826	727721	1	527	LOC727721	unknown
167	7634	9563	1	9117	H6PD	protein-coding
168	15403	80176	1	3118	SPSB1	protein-coding
169	38575	100506022	1	801	LOC100506022	miscRNA
170	16209	84275	1	1461	SLC25A33	protein-coding
171	20017	199953	1	6542	TMEM201	protein-coding
172	4320	5293	1	5411	PIK3CD	protein-coding
173	27480	644997	1	1823	C1orf200	miscRNA
174	9197	22883	1	5192	CLSTN1	protein-coding
175	27484	645010	1	662	FLJ16126	unknown
176	13691	56998	1	2995	CTNNBIP1	protein-coding
177	16257	84328	1	1407	LZIC	protein-coding
178	14596	64802	1	3781	NMNAT1	protein-coding
179	17556	116362	1	655	RBP7	protein-coding
180	8253	10277	1	5905	UBE4B	protein-coding
181	9357	23095	1	16016	KIF1B	protein-coding
182	NA.12	100287506	1	577	NA	NA
183	4263	5226	1	1937	PGD	protein-coding
184	23087	378708	1	2525	APITD1	protein-coding
185	1092	1325	1	935	CORT	protein-coding
186	1391	1676	1	3408	DFFA	protein-coding
187	4238	5195	1	1926	PEX14	protein-coding
188	12660	54897	1	8526	CASZ1	protein-coding
189	19033	148345	1	2761	C1orf127	protein-coding
190	9633	23435	1	4217	TARDBP	protein-coding
191	8640	10747	1	2600	MASP2	protein-coding
192	5518	6723	1	1273	SRM	protein-coding
193	4405	5394	1	2808	EXOSC10	protein-coding
194	2044	2475	1	8725	MTOR	protein-coding
195	8200	10218	1	2238	ANGPTL7	protein-coding
196	11481	29914	1	3654	UBIAD1	protein-coding
197	13956	57540	1	5214	PTCHD2	protein-coding
198	10217	26232	1	1536	FBXO2	protein-coding
199	17155	93611	1	3527	FBXO44	protein-coding
200	10246	26270	1	1551	FBXO6	protein-coding
201	8404	10459	1	1328	MAD2L2	protein-coding
202	23000	374946	1	1773	DRAXIN	protein-coding
203	NA.13	100506086	1	3349	NA	NA
204	13730	57085	1	1280	AGTRAP	protein-coding
205	38692	100506273	1	1320	LOC100506273	unknown
206	21384	284498	1	2560	C1orf167	protein-coding
207	38710	100506310	1	2233	LOC100506310	protein-coding
208	NA.14	100506116	1	1718	NA	NA
209	3691	4524	1	7150	MTHFR	protein-coding
210	989	1185	1	5654	CLCN6	protein-coding
